Chromophore,Solvent,Quantum yield
Clc1ccccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(C)=O,
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C)C=CC=2,CS(C)=O,
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)cc(OC)c1)C=CC=2,CS(C)=O,
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1OCc1ccccc1)C=CC=2,CS(C)=O,
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(OC)=O)C=CC=2,CS(C)=O,
Clc1c(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(Cl)cc(OC)c1O,CS(C)=O,
P(c1ccccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)(c1ccccc1)c1ccccc1,CS(C)=O,
Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(OC)c(OC)c1,CS(C)=O,
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3OCOc3ccc1)C=CC=2,CS(C)=O,
s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)C,CS(C)=O,
Ic1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(C)=O,
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1oc(cc1)CO)C=CC=2,CS(C)=O,
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(F)ccc1OC)C=CC=2,CS(C)=O,
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1OC(F)F)C=CC=2,CS(C)=O,
Brc1cc(Br)cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1OC,CS(C)=O,
Ic1cc(cc(OC)c1OC)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,CS(C)=O,
